pen,datespan,days_before_removal,date,upright_tails,hanging_tails,posture_diff,group
Pen 5,220725_220831,7,2022-08-16,0.880086452121177,0.11991354787882287,0.7601729042423542,outbreak
Pen 5,220725_220831,8,2022-08-15,0.8868064630514687,0.11319353694853133,0.7736129261029373,outbreak
Pen 5,220725_220831,9,2022-08-14,0.8915517115602931,0.10844828843970698,0.7831034231205861,outbreak
Pen 5,220725_220831,10,2022-08-13,0.8948592247902303,0.10514077520976979,0.7897184495804604,outbreak
Pen 5,221004_221104,0,2022-11-03,0.3051580311674209,0.6948419688325791,-0.3896839376651582,outbreak
Pen 5,221004_221104,1,2022-11-02,0.29426131353591667,0.7057386864640833,-0.41147737292816666,outbreak
Pen 5,221004_221104,2,2022-11-01,0.3487814773495084,0.6512185226504916,-0.3024370453009832,outbreak
Pen 5,221004_221104,3,2022-10-31,0.40438005426873574,0.5956199457312642,-0.19123989146252854,outbreak
Pen 5,221004_221104,4,2022-10-30,0.48304471569882773,0.5169552843011723,-0.03391056860234454,outbreak
Pen 5,221004_221104,5,2022-10-29,0.5357354463156805,0.46426455368431957,0.07147089263136096,outbreak
Pen 5,221004_221104,6,2022-10-28,0.5806979587776109,0.4193020412223891,0.16139591755522173,outbreak
Pen 5,221004_221104,7,2022-10-27,0.6139114638118305,0.3860885361881696,0.22782292762366085,outbreak
Pen 5,221004_221104,8,2022-10-26,0.6342776587601343,0.3657223412398658,0.2685553175202684,outbreak
Pen 5,221004_221104,9,2022-10-25,0.6917133860643574,0.30828661393564255,0.38342677212871495,outbreak
Pen 5,221004_221104,10,2022-10-24,0.728112286064302,0.27188771393569794,0.45622457212860423,outbreak
Pen 5,230515_230621,0,2023-06-01,0.5361047916953116,0.4638952083046885,0.07220958339062299,outbreak
Pen 5,230515_230621,1,2023-05-31,0.6961368141105638,0.30386318588943606,0.3922736282211278,outbreak
Pen 5,230515_230621,2,2023-05-30,0.8523091935296604,0.14769080647033964,0.7046183870593207,outbreak
Pen 5,230515_230621,3,2023-05-29,0.9187696310481831,0.08123036895181684,0.8375392620963663,outbreak
Pen 5,230515_230621,4,2023-05-28,0.9361115876667069,0.06388841233329308,0.8722231753334139,outbreak
Pen 5,230515_230621,5,2023-05-27,0.9307215470395738,0.06927845296042612,0.8614430940791479,outbreak
Pen 5,230515_230621,6,2023-05-26,0.9335711043285736,0.06642889567142628,0.8671422086571474,outbreak
Pen 5,230515_230621,7,2023-05-25,0.9326560958049037,0.06734390419509621,0.8653121916098074,outbreak
Pen 5,230515_230621,8,2023-05-24,0.9406389671189803,0.05936103288101965,0.8812779342379606,outbreak
Pen 5,230515_230621,9,2023-05-23,0.933581697156305,0.06641830284369486,0.8671633943126101,outbreak
Pen 5,230515_230621,10,2023-05-22,0.9188009095182609,0.08119909048173908,0.8376018190365219,outbreak
Pen 6,221003_221107,0,2022-11-02,0.5880502524985249,0.4119497475014751,0.1761005049970498,outbreak
Pen 6,221003_221107,1,2022-11-01,0.5701029467153625,0.4298970532846374,0.1402058934307252,outbreak
Pen 6,221003_221107,2,2022-10-31,0.541229636667654,0.45877036333234605,0.08245927333530788,outbreak
Pen 6,221003_221107,3,2022-10-30,0.5250884637764005,0.47491153622359955,0.050176927552800864,outbreak
Pen 6,221003_221107,4,2022-10-29,0.5618242140691113,0.43817578593088863,0.12364842813822269,outbreak
Pen 6,221003_221107,5,2022-10-28,0.6343324228233354,0.36566757717666465,0.2686648456466707,outbreak
Pen 6,221003_221107,6,2022-10-27,0.7558526462396964,0.2441473537603037,0.5117052924793927,outbreak
Pen 6,221003_221107,7,2022-10-26,0.8295570420676069,0.17044295793239309,0.6591140841352138,outbreak
Pen 6,221003_221107,8,2022-10-25,0.8720995943480983,0.12790040565190178,0.7441991886961965,outbreak
Pen 6,221003_221107,9,2022-10-24,0.8581937913698457,0.14180620863015425,0.7163875827396916,outbreak
Pen 6,221003_221107,10,2022-10-23,0.854822342272643,0.14517765772735705,0.7096446845452858,outbreak
Pen 6,230515_230622,0,2023-06-01,0.47871468294827063,0.5212853170517294,-0.04257063410345872,outbreak
Pen 6,230515_230622,1,2023-05-31,0.5824577511613723,0.4175422488386277,0.16491550232274457,outbreak
Pen 6,230515_230622,2,2023-05-30,0.7033253039104587,0.2966746960895414,0.4066506078209173,outbreak
Pen 6,230515_230622,3,2023-05-29,0.764147159829197,0.2358528401708028,0.5282943196583944,outbreak
Pen 6,230515_230622,4,2023-05-28,0.795781544651513,0.204218455348487,0.5915630893030259,outbreak
Pen 6,230515_230622,5,2023-05-27,0.7976547478121132,0.20234525218788682,0.5953094956242263,outbreak
Pen 6,230515_230622,6,2023-05-26,0.8022594028623199,0.19774059713768,0.60451880572464,outbreak
Pen 6,230515_230622,7,2023-05-25,0.7913981371132338,0.20860186288676616,0.5827962742264677,outbreak
Pen 6,230515_230622,8,2023-05-24,0.7871298509478426,0.2128701490521574,0.5742597018956852,outbreak
Pen 6,230515_230622,9,2023-05-23,0.7830880007179162,0.2169119992820839,0.5661760014358322,outbreak
Pen 6,230515_230622,10,2023-05-22,0.7836795551415054,0.21632044485849453,0.5673591102830109,outbreak
